Alloy,Phase
Al22Co28Ni31.75Ti10.75V7.5,FCC+IM
CuMnNiAl10,FCC+IM
Al0.6CoFeNiTi0.4,FCC+IM
Al17Co17Cr17Fe17Ni17Fe15,IM
AlCrMoSiTi,BCC+IM
Co17.5Cr12.5Fe55Ni10Mo5,IM
HfMoTiWZr,BCC
CuNi2FeCrAl2.4,BCC
Al0.5CrFeNiCo0.3C0.2,IM
CrMoNbTaTiVZr,BCC
Ti40Zr25Cu12Ni3Be20,AM
AlCo0.6CrFeNi2.4,FCC+IM
Al9.38Ni22.66Co22.66Fe22.66Cr22.66,IM
AuPdAgPtCu,FCC
MoNbTiWZr,BCC
CoCrFeNiNb0.45,FCC+IM
Al5Cr32Fe35Ni22Ti6,BCC+FCC+IM
Nb0.74CoCrFeNi2.0,FCC+IM
CoCrFeMnNiPd,FCC+IM
CoCrFeMnNiV,BCC+FCC
Al0.8CoCrFeNiTi0.2,FCC
FeCoCrNiCuAlMo0.2,BCC+FCC
CoFeNiPd,FCC
Al0.7Cr0.5Fe3.6Mn3.1Ni,FCC
Pd40Ni40P20,AM
CoCrFeMnNiMo4,FCC
CoCrFeNiTi0.5,FCC+IM
Al17Co28.6Cr14.3Fe14.3Ni25.8,FCC+IM
Al0.5CoCrFeMnNi,FCC
CuNi2FeCrAl1.8,BCC
Al10Co30Cr20Fe35Ni5,FCC
CrMn0.7FeVCu0.14,BCC
AlCoCr0.5FeNi,FCC
CoCrFeMnNiPd1.6,FCC+IM
CoCrFeHfNi,BCC+IM
Al0.8CrCuFeMnNi,BCC+IM
Al0.6CrFe2Mn1.2Ni0.8,BCC+IM
Cr1.25Cu0.75MnFeNi,FCC
Al4CoCrCuFeMnNiTiV,BCC+IM
CoCrFeNiTa,FCC+IM
CoCrFeNiCuAl0.5B,FCC+IM
CoCrFeMnNiPd0.2,FCC+IM
CoCrFeNiZr,BCC+IM
CoCrHf0.2FeNi,IM
Fe18.6Co18.6Ni18.6Cr18.8Mn18.8Al7,FCC
CuMnNiZn25,FCC
CoCrFeNiTa0.4,FCC+IM
Al19.3Co15Cr15Ni50.7,FCC+IM
Al7HfNbTiZr,BCC
CoCrFeMoNi,FCC+IM
CoCrFeMnCuNi,FCC
FeCoCrNiCuAlMo0.4,BCC+IM
Al20CoCrCuFeMnNiTiV,BCC
AlCrFeNiTi0.25,BCC+IM
CoCrFeMnGeNi,BCC+FCC
AlCrMoTiW,BCC+IM
MoNbReTaTiVW,BCC
Ta0.65CoCrFeNi2.0,FCC+IM
Pd79.5Cu4Si16.5,AM
CrFeNiV0.5W,BCC+FCC+IM
CoCrFeNiZr0.5,FCC+IM
Al16Co16Cr16Fe16Ni16Fe20,IM
Al0.7CoCrFe2Ni,BCC+FCC+IM
C0.1Hf0.5Mo0.5NbTiZr,BCC+IM
Co25Fe25Mn5Ni25Ti20,FCC+IM
MoNbTiV0.8Zr,BCC
Al10HfNbTiZr,IM
Al40CoCrCuFeMnNiTiV,BCC+IM
AlCoCrCuFeNi,BCC+FCC+IM
TiCr2NiCuAl,BCC+FCC
Mg50AlCuMnZn,FCC
Zr0.6CoCrFeNi2.0,FCC+IM
AlCrMnNbV,IM
AlCoCrCuMnFe,IM
AlCoCr0.7FeNi,FCC
MoTiVZr,BCC
CoCrFeNiAl0.88,BCC+FCC
HfMo0.3NbTaTiZr,BCC
AuPdAgPtCuNi,FCC
TiZrNbTaMo15,BCC
CoCrCuFeNiNb8,IM
Co30Cr10Fe10Al18Ni32,BCC+FCC
BCCNiTa,IM
AlCoCr0.3FeNi,FCC
CoFeNiTi,FCC+IM
HfMo0.8NbTaTiZr,BCC
Al0.7Cr0.5Fe3.6NiMn3.1C0.09,FCC
Cu47Ti33Zr11SiNi6Sn2,AM
Fe40Mn40Co10Cr10C2.2,FCC
Al0.7Fe2Mn1.8Ni,FCC+IM
Al8Co17Cr14Cu8Fe17Mo0.1Ni34.8TiW0.1,FCC+IM
CoCrFeNb0.41Ni,IM
Al5HfNbTiZr,BCC
FeCoCrNiCuAlMo,BCC+IM
CoCuFeNiTi,BCC+FCC+IM
Dy46Al24Co18Fe2Y10,AM
FeCoCrAlCuV0.2Ni,FCC
AlC0.5CoCrFeNi,BCC+IM
CuNi2FeCrAl0.9,BCC+FCC
Al0.3C0.1CoCrFeNi,FCC+IM
HfMoNbTaTiVWZr,BCC+IM
Pd40Cu30Ni10P20,AM
Al0.8CoCrCuFeNi,FCC
CrMoNbTaTiVWZr,BCC
Nb42Mo20Ti13Cr12V12Ta1,IM
AlC0.4CoCrFeNi,BCC+IM
Co33Cr9W0.35N0.1C,FCC
Fe20Co20Ni41Al19,IM
AlNbTiVZr,IM
AlCoCrFeNi2.0,FCC+IM
CoCrFeMnNiV0.3,FCC
AlCoCuFeNiVZr,BCC+FCC+IM
Fe33Ni17Mn38Al12,IM
Al13.00Co21.00Cr21.00Fe21.00Ni21.00Ti3.00,IM
Al0.5CoCrCuFeNiTi1.0,BCC+FCC+IM
AlCoCrFeNiZr0.5,BCC+IM
Hf0.8NbTa0.5Ti1.5Zr1.25,BCC
Al14.1Cr6Fe28.2Mn32.9Ni18.8,FCC+IM
Co2Mo0.5Ni2VW0.5,FCC+IM
Cr2MoNbTaVW,BCC+IM
FeCoNiAl8Ti6,IM
Pd71.5Cu12Si16.5,AM
AlCoCrFeNiSi,BCC
Cr1.75Cu0.25MnFeNi,FCC
Co20Cr20Fe40Mn20,IM
CoCrCuFeNiTi2.5,IM
MoNbTiV1.25Zr,BCC
FeCoNiCrTi2Al4,IM
CrMn0.5FeVCu0.10,BCC
Co33Cr9W0.35N0.06C,FCC
Al15Co30Cr15Fe40Ni5,FCC
Fe34Cr34Ni14Al14Co4,IM
Fe41Co7Cr15Mo14C15B6Y2,AM
CoCrFeNiW,FCC+IM
HfMo0.5NbSi0.7TiV0.5,BCC+IM
Ni46Co22Al12Cr8Fe8Ti3Mo1,IM
Al16Co41Cr15Fe10Ni18,BCC+FCC
Cr1.5Cu0.5MnFeNi,FCC
Co50.4Fe21.6B19.2Si4.8Nb4,AM
Fe18.4Co18.4Ni18.4Cr18.4Mn18.4Al8,FCC
NiCoFeCrAl1.0,FCC
Al0.5CrMoNbSi0.3TiV,BCC+IM
Al19Co19Cr19Fe19Ni19Fe5,IM
V10Cr15Mn5Co10Ni25Fe25.3Nb9.7,FCC+IM
Co18Cr12.5Fe55Ni7Mo7.5,IM
AlMo0.5NbTa0.5TiZr,BCC+IM
Co2CrMo0.5Ni2W0.5,FCC+IM
Al0.5CrMoNbV,BCC+IM
Al0.6CoCrFeMnNi,BCC+FCC+IM
Al15.63Ni21.09Co21.09Fe21.09Cr21.09,IM
Cr2MnFeNi,FCC
AlCo0.6CrFe0.2NiSiTi0.2,BCC+IM
FeCoCrNiCuAlMo0.8,BCC+IM
Fe17.8Co17.8Ni17.8Cr17.8Mn17.8Al11,FCC
CoCrCuFeNiNb12,IM
FeCoNiAl7Ti7,IM
HfMoNbTaTiVZr,BCC
Co2Cr0.5Ni2VW0.5,FCC+IM
CoCrFeNiCuAl0.5B0.2,FCC+IM
Al0.13CoCrCuFeMnNiTiV,BCC+FCC
CoCrFeCuMn,FCC
CoCrFeNiHf0.4,FCC+IM
PdPtRhIrCuNi,FCC
CoCrFeNiCuAlSi,BCC
CoFeNiNb0.5,FCC+IM
Co57.6Fe14.4B19.2Si4.8Nb4,AM
AlB0.5CoCrCuFeMoNiSiTi,BCC+IM
Al17Co14.3Cr14.3Fe14.3Ni40.1,IM
TiCrFeNiMn,FCC+IM
CoCrNiAl3Ti3,IM
CoCrFeNiAl0.38,FCC
AlCCoCrFeNi,BCC+IM
CoCrFeMnNiPd0.6,FCC+IM
CrMn0.3FeVCu0.06,BCC
AlC1.5CoCrFeNi,BCC+IM
AlCrFeNi3,FCC+IM
Al16.00Co21.00Cr21.00Fe21.00Ni21.00,IM
Pd73.5Cu10Si16.5,AM
CuNi2FeCrAl1.5,BCC+FCC
CoCrFeNiMnC0.01,FCC
Pt42.5Cu27Ni9.5P21,AM
CuMnNiZn20,FCC
Al1.3CrFeNi,BCC+IM
Co33Cr9W0.35N0.25C,FCC
Al0.5MoTaTiV,BCC
Al3HfNbTiZr,BCC
Fe61B15Mo7Zr8Co6Y2Al,AM
CrMnFeVCu0.20,BCC
AlCoCuFeNdNi,IM
Co20Cr20Fe34Mn20Ni6,IM
CoCrFeNiNb0.65,FCC+IM
Ni65Nb5Cr5Mo5P14B6,AM
CoHfNbNiTiZr,BCC+FCC+IM
Al13.00Co21.74Cr21.74Fe21.74Ni21.74,IM
CoCrFeNiCuAl0.5B0.6,FCC+IM
Ti34Zr11Cu47Ni8,AM
AlMoTaTiV,BCC
CoCrHf0.6FeNi,IM
CoCrFeNiMnPd1.4,FCC+IM
Al0.5CoCrFeNiTi0.5,BCC+FCC+IM
Al25.00Ni18.75Co18.75Fe18.75Cr18.75,BCC
Co43Fe5Cr15Mo14C15B6Er2,AM
AgAlCoCrCuNi,FCC+IM
Al2.5CoCuFeNiSn0.1,BCC+IM
Al18.072Fe23.719Co12.058Ni16.321Cu29.83,BCC+FCC
Al17.276Fe27.843Co11.496Ni15.242Cu28.143,BCC
Al15.867Fe32.435Co10.887Ni14.543Cu26.268,BCC
Al15.04Fe37.058Co10.146Ni13.588Cu24.168,BCC
Al13.56Fe42.536Co9.5096Ni12.476Cu21.918,BCC
Al12.368Fe47.937Co8.6255Ni11.434Cu19.635,BCC
Al18.628Fe20.053Co12.835Ni17.349Cu31.134,BCC+FCC
Al19.568Fe17.053Co13.413Ni17.837Cu32.129,FCC
Al20.778Fe12.21Co14.227Ni18.955Cu33.83,FCC
Al20.776Fe10.456Co14.6Ni19.471Cu34.696,FCC
Al21.319Fe8.7806Co14.777Ni20.105Cu35.018,FCC
Al21.508Fe7.6997Co15.308Ni20.319Cu35.166,FCC
Al22.433Fe6.7089Co15.486Ni20.506Cu34.866,FCC
Al22.317Fe5.8296Co15.822Ni20.999Cu35.032,FCC
Al20.06Fe14.452Co13.734Ni18.582Cu33.172,FCC
Al19.742Fe22.512Co10.87Ni14.383Cu32.492,BCC+FCC
Al18.565Fe26.487Co10.376Ni13.645Cu30.927,BCC
Al17.636Fe30.843Co9.8251Ni13.007Cu28.689,BCC
Al16.399Fe35.533Co9.242Ni12.255Cu26.571,BCC
Al15.022Fe40.614Co8.6776Ni11.437Cu24.249,BCC
Al20.696Fe19.227Co11.222Ni14.957Cu33.897,BCC+FCC
Al21.324Fe16.23Co11.61Ni15.506Cu35.331,BCC+FCC
Al22.568Fe11.545Co12.32Ni16.504Cu37.063,FCC
Al23.301Fe9.8187Co12.379Ni16.778Cu37.724,FCC
Al23.392Fe8.3562Co12.699Ni17.285Cu38.268,FCC
Al23.609Fe7.1912Co12.955Ni17.614Cu38.631,FCC
Al23.913Fe6.2369Co13.243Ni17.923Cu38.684,FCC
Al22.35Fe13.612Co11.88Ni16.171Cu35.987,FCC
Al21.576Fe20.805Co9.508Ni12.873Cu35.238,BCC
Al20.478Fe24.758Co9.1631Ni12.352Cu33.248,BCC
Al19.724Fe28.851Co8.5785Ni11.828Cu31.018,BCC
Al17.993Fe33.848Co8.3289Ni11.116Cu28.714,BCC
Al16.782Fe38.271Co7.9306Ni10.578Cu26.439,BCC
Al22.269Fe17.829Co9.6963Ni13.323Cu36.884,BCC+FCC
Al23.331Fe14.904Co10.086Ni13.665Cu38.014,BCC+FCC
Al24.628Fe10.656Co10.434Ni14.259Cu40.022,BCC+FCC
Al25.349Fe9.0324Co10.544Ni14.492Cu40.582,BCC+FCC
Al25.443Fe7.7138Co10.919Ni14.671Cu41.254,BCC+FCC
Al25.761Fe6.7992Co11.025Ni15.106Cu41.309,BCC+FCC
Al26.235Fe5.8985Co11.027Ni15.245Cu41.594,BCC+FCC
Al23.871Fe12.647Co10.257Ni13.957Cu39.268,BCC+FCC
Al23.019Fe19.198Co8.3311Ni11.403Cu38.048,BCC
Al22.117Fe22.516Co8.1511Ni11.102Cu36.114,BCC
Al21.197Fe26.707Co7.8438Ni10.648Cu33.603,BCC
Al19.821Fe31.223Co7.5026Ni10.318Cu31.135,BCC
Al24.231Fe16.208Co8.4676Ni11.563Cu39.53,BCC
Al25.157Fe13.842Co8.6409Ni11.915Cu40.444,BCC
Al26.214Fe9.8133Co8.8785Ni12.223Cu42.871,BCC
Al26.866Fe8.2853Co8.9671Ni12.478Cu43.404,BCC
Al27.556Fe7.1499Co9.2066Ni12.413Cu43.674,BCC
Al27.644Fe6.2449Co9.1848Ni12.639Cu44.288,BCC
Al25.585Fe11.594Co8.6441Ni11.912Cu42.264,BCC
Al25.215Fe17.412Co7.129Ni9.8402Cu40.403,BCC
Al23.821Fe20.952Co7.0163Ni9.7765Cu38.434,BCC
Al23.066Fe24.351Co7.0347Ni9.5578Cu35.99,BCC
Al26.096Fe14.832Co7.3259Ni10.076Cu41.67,BCC
Al27.125Fe12.52Co7.46Ni10.309Cu42.586,BCC
Al27.606Fe8.9743Co7.5604Ni10.316Cu45.543,BCC
Al28.487Fe7.5717Co7.657Ni10.428Cu45.856,BCC
Al29.229Fe6.5095Co7.5599Ni10.569Cu46.133,BCC
Al27.467Fe10.314Co7.5367Ni10.404Cu44.279,BCC
Al26.386Fe16.002Co6.3211Ni8.6745Cu42.617,BCC
Al27.706Fe13.359Co6.4548Ni8.6877Cu43.793,BCC
Al28.441Fe11.23Co6.3346Ni8.8139Cu45.181,BCC
Al29.19Fe8.1383Co6.4114Ni8.9771Cu47.283,BCC
Al28.573Fe9.3811Co6.3656Ni8.9511Cu46.729,BCC
Al16.523Fe24.954Co13.633Ni18.093Cu26.797,BCC+FCC
Al15.584Fe29.081Co12.882Ni17.117Cu25.336,BCC
Al14.346Fe33.957Co11.966Ni15.678Cu24.053,BCC
Al13.431Fe39.16Co11.155Ni14.809Cu21.445,BCC
Al12.037Fe44.311Co10.276Ni13.543Cu19.832,BCC
Al11.285Fe49.878Co9.3094Ni11.97Cu17.557,BCC
Al17.199Fe21.053Co14.582Ni19.066Cu28.1,BCC+FCC
Al17.581Fe17.864Co15.152Ni20.09Cu29.313,FCC
Al18.484Fe12.792Co16.439Ni21.498Cu30.787,FCC
Al19.191Fe10.79Co16.763Ni22.36Cu30.895,FCC
Al19.217Fe9.3291Co17.281Ni22.684Cu31.489,FCC
Al19.339Fe7.9927Co17.761Ni23.33Cu31.578,FCC
Al19.728Fe6.9472Co17.954Ni23.72Cu31.65,FCC
Al20.04Fe6.0025Co18.41Ni24.461Cu31.087,FCC
Al17.996Fe15.086Co15.887Ni20.94Cu30.091,FCC
Al14.673Fe25.624Co15.305Ni20.363Cu24.034,BCC+FCC
Al13.78Fe29.811Co14.45Ni19.046Cu22.913,BCC+FCC
Al13.108Fe34.696Co13.217Ni17.777Cu21.201,BCC
Al11.92Fe40.341Co12.226Ni16.199Cu19.314,BCC
Al11.425Fe45.501Co10.955Ni14.414Cu17.705,BCC
Al9.7795Fe51.117Co10.024Ni13.044Cu16.036,BCC
Al15.701Fe21.708Co16.235Ni21.503Cu24.853,BCC+FCC
Al15.916Fe18.453Co17.029Ni22.516Cu26.086,FCC
Al16.732Fe13.161Co18.517Ni24.436Cu27.153,FCC
Al16.659Fe11.228Co19.161Ni25.12Cu27.832,FCC
Al16.718Fe9.4891Co19.561Ni25.898Cu28.333,FCC
Al17.294Fe8.1679Co20.086Ni26.411Cu28.041,FCC
Al17.311Fe7.0838Co20.459Ni26.804Cu28.342,FCC
Al17.553Fe6.1486Co20.895Ni27.295Cu28.109,FCC
Al16.194Fe15.641Co17.987Ni23.301Cu26.877,FCC
Al11.49Fe26.499Co18.622Ni24.471Cu18.919,BCC+FCC
Al10.912Fe30.967Co17.506Ni22.764Cu17.851,BCC+FCC
Al10.295Fe35.742Co16.249Ni20.874Cu16.841,BCC+FCC
Al9.6759Fe40.888Co14.615Ni19.026Cu15.795,BCC
Al8.842Fe46.453Co13.065Ni17.213Cu14.428,BCC
Al8.2574Fe51.788Co11.716Ni15.102Cu13.136,BCC
Al11.956Fe22.451Co19.841Ni26.046Cu19.706,BCC+FCC
Al12.022Fe19.01Co21.086Ni27.279Cu20.603,FCC
Al12.793Fe13.551Co22.94Ni29.738Cu20.977,FCC
Al12.879Fe11.505Co23.577Ni30.616Cu21.423,FCC
Al13.051Fe9.5297Co24.494Ni31.422Cu21.504,FCC
Al13.058Fe8.257Co25.066Ni32.151Cu21.468,FCC
Al13.124Fe7.1145Co25.352Ni32.909Cu21.5,FCC
Al13.244Fe6.0998Co25.928Ni33.657Cu21.071,FCC
Al12.381Fe16.199Co22.058Ni28.706Cu20.656,FCC
Al9.9108Fe26.469Co20.34Ni26.577Cu16.703,BCC+FCC
Al9.5769Fe30.972Co18.796Ni24.651Cu16.004,BCC+FCC
Al8.9716Fe35.758Co17.188Ni22.806Cu15.276,BCC+FCC
Al8.5614Fe41.039Co15.759Ni20.537Cu14.103,BCC+FCC
Al7.8302Fe46.504Co14.057Ni18.457Cu13.152,BCC
Al10.231Fe22.319Co21.835Ni28.117Cu17.499,FCC
Al10.88Fe18.555Co22.86Ni29.639Cu18.066,FCC
Al10.918Fe13.376Co24.981Ni32.328Cu18.397,FCC
Al11.11Fe11.282Co25.776Ni33.168Cu18.663,FCC
Al11.113Fe9.6008Co26.685Ni34.138Cu18.463,FCC
Al11.074Fe8.0962Co27.515Ni35.018Cu18.297,FCC
Al11.041Fe6.9993Co27.919Ni35.728Cu18.312,FCC
Al10.961Fe15.803Co24.075Ni30.946Cu18.214,FCC
Al9.0951Fe25.87Co21.749Ni28.51Cu14.776,BCC+FCC
Al8.6115Fe30.493Co20.28Ni26.484Cu14.131,BCC+FCC
Al8.1307Fe35.172Co18.774Ni24.568Cu13.356,BCC+FCC
Al7.6483Fe40.349Co17.035Ni22.362Cu12.606,BCC+FCC
Al6.9984Fe46.264Co15.306Ni19.898Cu11.533,BCC
Al9.2539Fe21.698Co23.532Ni30.217Cu15.299,FCC
Al9.3105Fe18.439Co24.528Ni32.034Cu15.689,FCC
Al9.411Fe13.032Co27.026Ni34.703Cu15.828,FCC
Al9.5598Fe10.954Co28.045Ni35.603Cu15.838,FCC
Al9.6133Fe9.1925Co28.674Ni36.774Cu15.746,FCC
Al9.4809Fe7.8797Co29.455Ni37.513Cu15.671,FCC
Al9.4742Fe6.8748Co29.937Ni38.283Cu15.431,FCC
Al9.2629Fe15.637Co26.063Ni33.178Cu15.859,FCC
Al7.7513Fe25.019Co23.913Ni30.271Cu13.046,BCC+FCC
Al7.6023Fe29.789Co21.977Ni28.045Cu12.586,BCC+FCC
Al7.3947Fe34.406Co20.225Ni25.896Cu12.078,BCC+FCC
Al6.9352Fe39.576Co18.331Ni23.774Cu11.384,BCC+FCC
Al7.9397Fe21.14Co25.113Ni32.412Cu13.395,FCC
Al8.0536Fe17.892Co26.626Ni33.726Cu13.702,FCC
Al8.1163Fe12.492Co28.939Ni36.741Cu13.711,FCC
Al7.992Fe10.515Co29.779Ni37.919Cu13.795,FCC
Al8.0962Fe8.8715Co30.671Ni38.775Cu13.587,FCC
Al7.8228Fe7.6477Co31.389Ni39.685Cu13.456,FCC
Al8.0698Fe15.107Co27.854Ni35.267Cu13.702,FCC
Al6.9588Fe24.387Co25.213Ni32.103Cu11.339,FCC
Al6.6515Fe28.544Co23.401Ni30.07Cu11.333,BCC+FCC
Al6.5552Fe33.723Co21.362Ni27.757Cu10.602,BCC+FCC
Al7.0892Fe20.296Co26.78Ni34.235Cu11.6,FCC
Al7.1379Fe17.07Co28.136Ni35.784Cu11.872,FCC
Al7.1211Fe11.969Co30.413Ni38.764Cu11.733,FCC
Al6.7165Fe10.153Co31.39Ni40.066Cu11.675,FCC
Al6.549Fe8.4176Co32.421Ni41.138Cu11.474,FCC
Al6.8425Fe14.391Co29.364Ni37.393Cu12.01,FCC
Al6.0672Fe23.305Co26.597Ni33.96Cu10.071,FCC
Al6.0687Fe19.45Co28.153Ni36.051Cu10.276,FCC
Al6.0234Fe16.22Co29.864Ni37.545Cu10.348,FCC
Al5.8493Fe11.526Co32.012Ni40.389Cu10.225,FCC
Al5.7738Fe13.799Co30.827Ni39.453Cu10.146,FCC
Al13.274Fe26.17Co17.072Ni22.435Cu21.049,BCC+FCC
Al12.437Fe30.55Co16.07Ni20.852Cu20.091,BCC+FCC
Al11.553Fe35.342Co14.679Ni19.368Cu19.058,BCC+FCC
Al10.78Fe40.697Co13.351Ni17.5Cu17.672,BCC
Al9.8817Fe46.227Co12.104Ni15.847Cu15.94,BCC
Al9.0398Fe51.586Co10.714Ni14.117Cu14.543,BCC
Al13.511Fe22.328Co18.154Ni23.674Cu22.333,BCC+FCC
Al14.047Fe18.764Co19.101Ni24.871Cu23.217,FCC
Al14.499Fe13.545Co20.743Ni27.097Cu24.117,FCC
Al14.716Fe11.487Co21.402Ni27.992Cu24.403,FCC
Al14.791Fe9.727Co21.95Ni28.738Cu24.794,FCC
Al14.892Fe8.3204Co22.444Ni29.546Cu24.797,FCC
Al15.135Fe7.0918Co23.157Ni29.842Cu24.774,FCC
Al15.182Fe6.2046Co23.262Ni30.814Cu24.538,FCC
Al14.065Fe16.035Co19.997Ni26.241Cu23.661,FCC
Al21.1Cr22.052Co12.201Ni15.165Cu29.483,BCC+FCC
Al19.611Cr20.543Co11.281Ni14.537Cu34.027,BCC+FCC
Al18.415Cr19.053Co10.665Ni13.757Cu38.11,BCC+FCC
Al16.914Cr17.51Co9.6432Ni12.452Cu43.481,FCC
Al15.419Cr15.657Co8.9419Ni11.612Cu48.371,FCC
Al13.844Cr14.282Co7.8508Ni10.576Cu53.447,FCC
Al22.123Cr23.474Co12.899Ni16.016Cu25.488,BCC+FCC
Al23.25Cr24.408Co13.648Ni16.541Cu22.154,BCC+FCC
Al24.356Cr26.526Co14.755Ni17.738Cu16.625,BCC+FCC
Al24.981Cr27.245Co15.249Ni18.324Cu14.201,BCC+FCC
Al25.697Cr27.506Co15.772Ni18.865Cu12.161,BCC+FCC
Al25.851Cr28.344Co16.047Ni19.319Cu10.439,BCC+FCC
Al26.371Cr28.593Co16.486Ni19.545Cu9.0049,BCC+FCC
Al26.873Cr29.108Co16.57Ni19.467Cu7.9812,BCC+FCC
Al24.067Cr25.639Co14.244Ni17.325Cu18.725,BCC+FCC
Al22.806Cr24.129Co11.038Ni13.616Cu28.411,BCC+FCC
Al21.902Cr22.649Co10.282Ni12.839Cu32.328,BCC+FCC
Al11.849Cr24.491Co10.821Ni13.516Cu39.323,BCC+FCC
Al18.851Cr19.238Co9.032Ni11.446Cu41.432,BCC+FCC
Al17.09Cr17.504Co8.0484Ni10.557Cu46.8,BCC+FCC
Al24.093Cr25.661Co11.639Ni14.245Cu24.361,BCC+FCC
Al25.335Cr26.859Co12.026Ni14.742Cu21.037,BCC+FCC
Al27.002Cr29.109Co12.807Ni15.643Cu15.439,BCC
Al27.204Cr30.114Co13.342Ni16.112Cu13.228,BCC
Al27.942Cr30.745Co13.631Ni16.242Cu11.44,BCC
Al27.876Cr31.29Co13.982Ni16.708Cu10.144,BCC
Al28.584Cr31.653Co14.19Ni16.9Cu8.673,BCC
Al26.292Cr27.964Co12.462Ni15.18Cu18.102,BCC
Al24.73Cr26.352Co9.8172Ni12.001Cu27.1,BCC+FCC
Al23.895Cr24.709Co9.2014Ni11.533Cu30.661,BCC+FCC
Al14.776Cr26.423Co9.796Ni12.003Cu37.003,BCC+FCC
Al16.72Cr22.655Co8.6119Ni10.885Cu41.129,BCC+FCC
Al18.842Cr19.263Co7.6067Ni9.8561Cu44.432,BCC+FCC
Al26.197Cr28.073Co10.104Ni12.528Cu23.098,BCC
Al27.643Cr29.259Co10.629Ni12.921Cu19.547,BCC
Al29.119Cr31.564Co11.096Ni13.719Cu14.502,BCC
Al30.167Cr32.367Co11.367Ni13.615Cu12.484,BCC
Al30.595Cr33.165Co11.641Ni13.948Cu10.651,BCC
Al30.807Cr33.824Co11.804Ni14.229Cu9.3356,BCC
Al30.944Cr34.306Co11.949Ni14.531Cu8.2708,BCC
Al28.377Cr30.63Co10.819Ni13.224Cu16.951,BCC
Al26.94Cr28.563Co8.6502Ni10.698Cu25.149,BCC
Al25.695Cr26.787Co8.2806Ni10.294Cu28.943,BCC
Al24.757Cr24.939Co7.7667Ni9.8575Cu32.68,BCC+FCC
Al16.514Cr25.701Co8.388Ni10.033Cu39.363,BCC+FCC
Al28.77Cr30.214Co8.8896Ni10.864Cu21.262,BCC
Al30.414Cr31.586Co9.0774Ni11.083Cu17.839,BCC
Al31.18Cr34.071Co9.699Ni11.587Cu13.464,BCC
Al32.281Cr34.778Co9.7737Ni11.646Cu11.522,BCC
Al33.157Cr35.622Co9.9318Ni11.615Cu9.674,BCC
Al33.338Cr36.168Co9.973Ni12.024Cu8.4971,BCC
Al30.595Cr32.952Co9.4069Ni11.486Cu15.56,BCC
Al29.016Cr30.733Co7.5441Ni9.3843Cu23.322,BCC
Al27.535Cr29.112Co7.4113Ni9.1979Cu26.744,BCC
Al26.166Cr26.902Co7.1721Ni8.9585Cu30.801,BCC
Al30.818Cr32.425Co7.8293Ni9.5008Cu19.427,BCC
Al32.068Cr33.818Co7.8837Ni9.6388Cu16.591,BCC
Al33.063Cr36.421Co8.1805Ni9.9498Cu12.386,BCC
Al33.684Cr37.326Co8.3828Ni10.171Cu10.436,BCC
Al34.405Cr38.006Co8.4552Ni10.137Cu8.9975,BCC
Al32.679Cr35.331Co7.914Ni9.7332Cu14.343,BCC
Al30.638Cr33.066Co6.7908Ni8.3449Cu21.16,BCC
Al32.205Cr34.607Co6.8318Ni8.5046Cu17.852,BCC
Al33.459Cr36.05Co6.9554Ni8.4033Cu15.133,BCC
Al34.576Cr38.461Co7.1999Ni8.6301Cu11.133,BCC
Al34.143Cr37.422Co7.0306Ni8.4827Cu12.922,BCC
Al19.053Cr19.905Co13.656Ni16.921Cu30.464,BCC+FCC
Al18.157Cr18.453Co12.582Ni16.0Cu34.807,BCC+FCC
Al16.681Cr17.306Co11.571Ni14.8Cu39.642,FCC
Al15.125Cr15.895Co10.718Ni13.861Cu44.401,FCC
Al13.91Cr14.508Co9.5535Ni12.563Cu49.466,FCC
Al12.808Cr12.927Co8.6722Ni11.512Cu54.081,FCC
Al20.304Cr21.217Co14.242Ni17.848Cu26.389,BCC+FCC
Al20.885Cr21.914Co15.185Ni18.897Cu23.118,BCC+FCC
Al22.184Cr23.638Co16.752Ni20.436Cu16.99,BCC+FCC
Al22.685Cr24.371Co17.374Ni20.947Cu14.622,BCC+FCC
Al22.935Cr24.849Co18.008Ni21.522Cu12.686,BCC+FCC
Al23.73Cr25.398Co18.226Ni21.874Cu10.773,BCC+FCC
Al24.345Cr25.505Co18.395Ni22.196Cu9.5588,BCC+FCC
Al24.296Cr26.025Co19.091Ni22.529Cu8.0594,BCC+FCC
Al21.922Cr23.055Co15.943Ni19.503Cu19.577,BCC+FCC
Al17.097Cr17.834Co15.201Ni18.877Cu30.991,FCC
Al16.049Cr16.739Co13.796Ni17.593Cu35.823,FCC
Al15.039Cr15.314Co12.66Ni16.492Cu40.494,FCC
Al14.053Cr14.247Co11.501Ni14.866Cu45.333,FCC
Al12.748Cr13.045Co10.417Ni13.551Cu50.239,FCC
Al11.797Cr11.735Co9.1833Ni12.376Cu54.908,FCC
Al18.228Cr18.743Co16.024Ni19.899Cu27.105,BCC+FCC
Al18.511Cr19.581Co17.131Ni20.979Cu23.797,BCC+FCC
Al19.513Cr21.177Co18.94Ni23.028Cu17.342,BCC+FCC
Al20.268Cr21.709Co19.708Ni23.544Cu14.772,BCC+FCC
Al20.374Cr22.123Co20.377Ni24.26Cu12.866,BCC+FCC
Al20.716Cr22.351Co20.575Ni25.182Cu11.176,BCC+FCC
