VEC,Pauling_EN,Melting_point_K,DFT_LDA_Etot,outer_shell_electrons,no_of_valence_electrons,Atomic_radius_calculated,Atomic_weight,Pauling_EN_div,entropy,Atomic_radius_calculated_dif,Enthalpy,E_per_el,Phase
7.363636363636364,1.733636363636364,1773.998484848485,-1168.6442875454547,1.7878787878787878,7.363636363636364,1.5824242424242425,54.485757575757575,0.14799300110024,17.893574708843694,7.795806971055949,-10.240587695133147,-129.8493652828283,BCC
7.38095238095238,1.7838095238095235,1658.0547619047616,-1112.296532047619,1.9523809523809523,7.38095238095238,1.4804761904761905,51.11190476190476,0.1204940698195475,14.335348767850853,10.65850439783053,-10.267573696145122,-185.3827553412698,BCC
7.086956521739131,1.762608695652174,1681.9760869565216,-1089.251374130435,1.9565217391304344,7.086956521739131,1.5047826086956522,50.82973913043479,0.1340738729307335,15.545078142305986,11.304737036119093,-15.773156899810958,-155.60733916149067,BCC
7.363636363636364,1.7336363636363636,1773.998484848485,-1168.6442875454543,1.7878787878787878,7.363636363636364,1.5824242424242425,54.485757575757575,0.14799300110024,17.893574708843694,7.795806971055949,-10.240587695133147,-129.84936528282827,BCC
6.800000000000001,1.714,1622.25,-1023.2584117,2.1,6.800000000000001,1.501,49.894400000000005,0.1425622670975738,15.685997067647264,11.59476031396784,-14.04,-146.1797731,BCC
6.636363636363637,1.7063636363636363,1671.4227272727271,-999.2057629090908,2.090909090909091,6.636363636363637,1.52,49.989636363636365,0.1380561629635975,15.74495536409992,11.610575550698773,-14.677685950413224,-142.7436804155844,BCC
7.176470588235295,1.7854901960784315,1697.0127450980394,-1142.6297355882352,1.9803921568627456,7.176470588235295,1.4901960784313726,51.38156862745099,0.1305991280860033,13.920872366202891,11.416397911523504,-11.672433679354098,-190.43828926470587,BCC
7.0,1.7699999999999998,1637.911904761905,-1045.7979469047618,2.0476190476190474,7.0,1.4676190476190474,49.37076190476191,0.1229788986932697,13.344790256113594,11.601323598465578,-12.879818594104306,-209.15958938095235,BCC
6.230769230769231,1.7392307692307694,1502.3807692307694,-891.0897980769231,2.230769230769231,6.230769230769231,1.4123076923076925,45.065230769230766,0.1272466737338597,12.63214747383609,13.483665235002034,-15.384615384615389,-178.2179596153846,BCC
7.076923076923077,1.7826923076923076,1673.534615384615,-1055.3365398846154,2.0769230769230766,7.076923076923077,1.4676923076923076,49.6285,0.12052952693803,14.221596536363382,11.842428461555455,-15.946745562130172,-175.88942331410257,BCC
6.962962962962963,1.7870370370370368,1673.8907407407407,-1026.924016074074,2.148148148148148,6.962962962962963,1.4544444444444444,48.83062962962963,0.1203333276335736,14.58502024404227,12.613141828916984,-19.4238683127572,-171.15400267901234,BCC
6.857142857142858,1.7525,1701.0071428571432,-1060.4422602857144,2.0,6.857142857142858,1.5117857142857145,50.20914285714286,0.135636725957874,14.778117661761367,11.58860417190278,-18.39285714285714,-176.74037671428573,BCC
6.384615384615385,1.7284615384615387,1656.2269230769234,-984.3146662307694,2.076923076923077,6.384615384615385,1.5015384615384617,48.27830769230769,0.1400464842524769,14.784231704418769,13.08410063903453,-22.29585798816569,-164.0524443717949,BCC
6.800000000000001,1.7540000000000002,1633.7500000000002,-1047.0714612000002,2.2,6.800000000000001,1.5020000000000002,49.6644,0.1500133327407933,13.38086680397711,12.422800308591857,-25.920000000000005,-209.41429224000004,BCC
6.999999999999999,1.7144444444444444,1708.7055555555555,-1101.2371286666666,1.8888888888888888,6.999999999999999,1.5433333333333332,51.898222222222216,0.1287643076072723,12.66184843145538,8.952216749919097,-7.4074074074074066,-220.24742573333333,BCC
7.244897959183673,1.730408163265306,1710.1295918367346,-1134.2447260816325,1.897959183673469,7.244897959183673,1.5389795918367346,52.45289795918367,0.1345128653838332,12.929886813876402,8.655479862175048,-8.079966680549768,-226.8489452163265,BCC
6.75,1.7079166666666667,1660.2333333333336,-1047.4920314375,1.9583333333333333,6.75,1.520625,50.34095833333333,0.127213048553292,12.897520627967342,10.528329239783451,-9.53125,-209.4984062875,BCC
6.816326530612246,1.7120408163265308,1661.5785714285716,-1056.8407695102042,1.959183673469388,6.816326530612246,1.52,50.51140816326532,0.1291096605853972,13.003885080416484,10.42851992983474,-9.699291961682633,-211.36815390204083,BCC
6.461538461538461,1.7003846153846154,1604.303846153846,-985.4784577115385,2.0384615384615383,6.461538461538461,1.4944230769230769,48.54411538461538,0.1249763291197044,12.938846228239038,11.951059795956184,-11.55325443786982,-197.0956915423077,BCC
7.444444444444445,1.7782539682539682,1855.6896825396827,-1181.7959544285711,1.73015873015873,7.444444444444445,1.562539682539683,53.70168253968254,0.0990837337496764,9.600061389564958,6.657714169130729,-5.522801713277904,-295.44898860714284,BCC
7.375,1.7756249999999998,1841.275,-1167.10094846875,1.75,7.375,1.5565625,53.2841875,0.1004968127604055,9.827007966213866,7.297807320795406,-6.2890625,-291.7752371171875,BCC
8.428571428571427,1.7771428571428571,1487.807142857143,-1263.4957198571428,1.857142857142857,8.428571428571427,1.4685714285714284,54.48242857142857,0.1218563892122063,16.17829697924588,9.424257855862152,-5.387755102040814,-180.4993885510204,BCC
5.800000000000001,1.656,1710.35,-890.3135028,2.0,5.800000000000001,1.544,48.141000000000005,0.0941488183675185,13.38086680397711,12.224301282283964,-10.240000000000002,-178.06270056,BCC
5.25,1.66,1701.15,-847.9290207500001,2.0,5.25,1.54,45.673,0.1070046727951634,11.52565131835077,14.256167792272828,-21.0,-211.9822551875,BCC
6.6000000000000005,1.658,1499.4700000000005,-1033.6579866,2.0,6.6000000000000005,1.5160000000000002,49.6144,0.0957914401186244,13.38086680397711,13.33433115408261,-14.56,-206.73159732,BCC
7.333333333333333,1.6983333333333333,1475.5833333333333,-1134.3459656666664,1.833333333333333,7.333333333333333,1.505,51.93633333333333,0.1256206812414084,14.896688227162048,12.369932711987376,-10.666666666666666,-189.0576609444444,BCC
7.700000000000001,1.765,1831.55,-1237.3316098,1.8000000000000005,7.700000000000001,1.5830000000000002,55.374300000000005,0.139946418317869,14.533431935812189,5.2932032643118685,-10.96,-206.22193496666668,BCC
6.461538461538463,1.7815384615384615,1652.919230769231,-1178.1434643846155,2.076923076923077,6.461538461538463,1.4676923076923076,50.37046153846154,0.1635117569918328,14.232280454334742,14.824597425443947,-13.727810650887577,-196.3572440641026,BCC
6.142857142857142,1.7199999999999998,1604.5785714285716,-931.2433024285712,2.142857142857143,6.142857142857142,1.4785714285714284,46.75714285714285,0.1383577144320371,14.531775362338625,13.97530352910658,-22.857142857142847,-155.20721707142854,BCC
7.0,1.7348,1618.59,-1062.22217492,2.04,7.0,1.4904000000000002,50.26152,0.1385963924494428,14.865039192478182,11.040484379708325,-11.494399999999995,-177.03702915333335,BCC
6.7142857142857135,1.771904761904762,1708.4833333333331,-1153.4813597619047,1.9523809523809523,6.7142857142857135,1.4928571428571429,50.6447619047619,0.1474422904900195,12.56847687677815,13.215908066897116,-13.78684807256236,-230.69627195238093,BCC
6.666666666666666,1.797777777777778,1787.2611111111112,-1341.4501514444444,1.8888888888888888,6.666666666666666,1.52,53.66511111111111,0.1722258064143168,13.14521343892854,14.208766406074616,-12.839506172839505,-268.2900302888889,BCC
6.235294117647059,1.7320588235294117,1422.8558823529413,-881.8652975588235,2.117647058823529,6.235294117647059,1.3961764705882351,44.98111764705882,0.125200531190489,12.412483371734064,13.609719893941175,-12.854671280276811,-176.3730595117647,BCC
6.142857142857142,1.7285714285714286,1408.864285714286,-863.5638768571428,2.1428571428571423,6.142857142857142,1.39,44.46685714285714,0.1250632493042244,12.263784450108735,13.72035597812214,-13.142857142857142,-172.71277537142856,BCC
7.399999999999999,1.766,1810.8833333333328,-1128.612927,1.7999999999999998,7.399999999999999,1.5586666666666666,53.91866666666667,0.1244615067668179,15.599338580953312,8.944890400116206,-7.715555555555555,-161.23041814285716,BCC
7.363636363636364,1.733636363636364,1773.998484848485,-1168.6442875454547,1.7878787878787878,7.363636363636364,1.5824242424242425,54.485757575757575,0.14799300110024,17.893574708843694,7.795806971055949,-10.240587695133147,-129.8493652828283,BCC
6.972602739726027,1.7647945205479452,1497.944520547945,-1011.1789635479452,2.041095890410958,6.972602739726027,1.4238356164383563,48.09227397260274,0.1297955145080674,14.345398997597744,12.34040115355062,-12.48264214674423,-168.52982725799086,BCC
6.866666666666667,1.7606666666666666,1482.8833333333332,-990.6492731333334,2.0666666666666664,6.866666666666667,1.4173333333333331,47.52933333333333,0.1304590186823262,14.212556664521149,12.540725704955666,-12.977777777777776,-165.1082121888889,BCC
6.717948717948719,1.754871794871795,1461.7397435897435,-961.8287462051284,2.102564102564102,6.717948717948719,1.4082051282051284,46.73905128205129,0.1311658139262371,14.005072371118665,12.79423224002736,-13.59631821170283,-160.30479103418804,BCC
6.625,1.75125,1448.525,-943.815916875,2.125,6.625,1.4025,46.245125,0.1314759959079983,13.863278514531157,12.936559726081038,-13.9375,-157.3026528125,BCC
